Satellite,Pass_Start_UTC,Pass_End_UTC,Duration_Seconds,Min_Sun_Elevation_deg,Max_Elevation_deg,Min_Off_Nadir_deg,Min_Slant_Range_km
YAOGAN-30 AF,2026-02-26 11:01:40,2026-02-26 11:02:10,40.0,45.89,79.58,9.49,569.13
YAOGAN-39 03B,2026-02-27 06:30:00,2026-02-27 06:30:20,30.0,40.88,81.84,7.65,516.92
SPOT 7,2026-02-27 06:46:20,2026-02-27 06:47:10,60.0,43.81,84.68,4.83,695.29
YAOGAN-43 02E,2026-02-27 06:49:00,2026-02-27 06:49:00,10.0,44.27,74.86,14.14,512.38
YAOGAN-39 02A,2026-02-27 07:04:50,2026-02-27 07:05:10,30.0,46.92,84.72,5.02,497.28
JILIN-01 GAOFEN 2B,2026-02-27 07:20:10,2026-02-27 07:20:30,30.0,49.3,81.76,7.64,525.15
GAOFEN 1,2026-02-27 07:24:40,2026-02-27 07:25:20,50.0,49.96,87.58,2.31,646.39
PLEIADES 1,2026-02-27 07:29:00,2026-02-27 07:29:30,40.0,50.58,79.29,9.6,710.89
YAOGAN-30 P,2026-02-27 07:31:00,2026-02-27 07:31:30,40.0,50.85,86.32,3.34,565.46
YAOGAN-36 04A,2026-02-27 08:09:30,2026-02-27 08:09:40,20.0,55.28,75.93,13.12,522.39
JILIN-01 KUANFU 02B 1,2026-02-27 08:28:30,2026-02-27 08:29:00,40.0,56.69,82.86,6.51,544.96
YAOGAN-35 05B,2026-02-27 08:32:50,2026-02-27 08:33:10,30.0,56.93,86.7,2.96,466.3
YAOGAN-33 03,2026-02-27 09:01:30,2026-02-27 09:02:10,50.0,57.66,89.2,0.63,704.14
YAOGAN 4,2026-02-27 09:37:10,2026-02-27 09:37:40,40.0,56.45,85.79,3.91,616.27
YAOGAN-30 F,2026-02-27 10:16:10,2026-02-27 10:16:50,50.0,52.73,88.62,1.28,558.38
YAOGAN-30 AD,2026-02-27 10:23:10,2026-02-27 10:23:50,50.0,51.85,83.84,5.78,565.18
YAOGAN-33 04,2026-02-27 10:41:50,2026-02-27 10:42:30,50.0,49.24,88.43,1.31,699.38
GAOFEN 10R,2026-02-27 10:45:20,2026-02-27 10:45:40,30.0,48.76,79.39,9.67,633.65
YAOGAN-30 Z,2026-02-27 11:28:30,2026-02-27 11:29:00,40.0,41.47,85.08,4.39,562.56
